Hours_Studied,Attendance,Parental_Involvement,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Gender,Exam_Score,Study_Efficiency,Wellness_Index
23,83,Low,8,85,Medium,2,Low,Medium,Private,2,Yes,High School,Male,65,1909,8.0
25,85,Medium,8,58,Medium,2,Medium,High,Public,4,No,College,Male,70,2125,16.0
27,62,High,6,53,Low,1,Medium,Medium,Public,2,No,High School,Male,64,1674,6.0
26,68,Medium,8,63,Medium,2,Low,High,Public,3,No,High School,Male,66,1768,12.0
25,63,Low,8,58,Medium,1,High,Medium,Public,1,No,College,Female,64,1575,4.0
18,72,High,7,80,High,1,High,High,Public,2,Yes,High School,Female,66,1296,7.0
17,85,Medium,9,74,Medium,1,Medium,Medium,Private,2,No,High School,Male,67,1445,9.0
22,83,Medium,8,86,Medium,3,Medium,Low,Public,4,No,High School,Male,68,1826,16.0
19,82,High,9,71,Medium,1,Low,High,Private,3,No,College,Female,67,1558,13.5
26,71,High,7,76,Medium,3,Low,Medium,Public,2,No,Postgraduate,Male,69,1846,7.0
29,70,Medium,7,72,Low,1,Medium,Medium,Public,4,No,College,Male,67,2030,14.0
15,94,Medium,7,84,Medium,0,Medium,High,Public,2,No,High School,Male,68,1410,7.0
19,85,Low,8,98,Medium,2,Medium,Low,Private,4,No,High School,Female,67,1615,16.0
22,67,Low,6,71,Low,1,Medium,High,Public,4,No,College,Male,64,1474,12.0
17,67,Medium,4,71,Medium,3,Medium,High,Public,2,No,High School,Female,63,1139,4.0
28,95,Low,8,52,High,3,High,High,Public,4,No,College,Male,72,2660,16.0
23,90,High,5,95,Low,2,Low,Medium,Public,2,No,High School,Male,69,2070,5.0
20,86,Low,6,96,Medium,1,High,Low,Public,2,Yes,High School,Male,66,1720,6.0
11,76,Medium,8,91,Low,1,High,High,Private,3,Yes,College,Female,64,836,12.0
12,70,Low,8,55,Medium,2,Medium,High,Public,4,No,High School,Female,61,840,16.0
22,99,Medium,9,95,Medium,2,Low,Low,Public,4,Yes,High School,Male,71,2178,18.0
7,92,Low,4,51,Medium,0,High,Medium,Public,1,No,High School,Female,63,644,2.0
26,72,Medium,7,72,Low,2,Medium,Low,Public,4,No,High School,Female,65,1872,14.0
19,94,High,7,75,Medium,2,High,Medium,Public,5,No,College,Female,71,1786,17.5
34,72,Medium,9,88,Low,1,High,Medium,Private,3,No,Postgraduate,Male,73,2448,13.5
19,77,Low,5,90,Low,1,Low,High,Private,3,No,College,Female,65,1463,7.5
19,67,Low,7,93,High,0,Medium,Medium,Public,4,No,Postgraduate,Male,66,1273,14.0
26,64,High,8,74,Low,3,Medium,High,Public,2,No,High School,Male,66,1664,8.0
30,89,Medium,6,89,Medium,3,High,Medium,Public,3,No,Postgraduate,Male,74,2670,9.0
9,93,High,6,72,Low,1,Medium,Medium,Public,2,No,College,Female,66,837,6.0
23,63,High,5,96,Medium,2,High,Medium,Public,2,No,High School,Female,67,1449,5.0
23,79,High,7,98,Low,0,Medium,High,Public,4,No,College,Female,69,1817,14.0
26,92,Medium,4,54,Medium,2,High,Medium,Public,4,No,High School,Male,72,2392,8.0
13,92,High,7,77,Medium,2,High,Medium,Public,4,No,Postgraduate,Male,72,1196,14.0
6,90,Medium,9,66,Medium,2,Medium,High,Public,2,No,High School,Male,65,540,9.0
25,74,High,5,67,High,1,Medium,Medium,Public,5,No,Postgraduate,Male,71,1850,12.5
15,78,Medium,5,73,Medium,0,High,High,Private,1,Yes,College,Male,64,1170,2.5
8,84,Medium,9,56,Low,1,Low,Medium,Public,2,No,High School,Male,61,672,9.0
21,99,Medium,9,59,Low,1,High,High,Public,2,No,College,Female,69,2079,9.0
25,73,Low,5,79,Medium,1,Low,Medium,Private,5,No,High School,Female,65,1825,12.5
19,97,Medium,10,51,High,3,Low,High,Public,4,No,College,Female,69,1843,20.0
17,71,Medium,8,80,Low,2,High,Low,Public,3,No,High School,Female,64,1207,12.0
19,100,Medium,9,66,High,1,High,Medium,Public,4,Yes,Postgraduate,Male,69,1900,18.0
18,87,Medium,6,92,Low,1,Low,Medium,Private,4,No,High School,Female,68,1566,12.0
12,79,Medium,9,80,Low,1,High,Medium,Public,2,No,College,Male,63,948,9.0
16,85,Low,7,85,High,1,Medium,High,Public,2,No,High School,Male,66,1360,7.0
23,71,Medium,7,56,Low,1,Medium,Medium,Private,4,No,High School,Female,65,1633,14.0
22,71,High,8,63,Medium,2,Medium,High,Public,2,No,High School,Male,66,1562,8.0
21,65,Medium,6,100,Medium,3,Medium,Medium,Public,4,No,Postgraduate,Male,67,1365,12.0
14,65,Medium,5,72,Low,3,Low,High,Private,2,No,High School,Male,62,910,5.0
19,74,Medium,7,68,Medium,2,Low,High,Public,2,No,High School,Female,66,1406,7.0
7,91,High,7,94,High,3,High,Medium,Public,3,No,Postgraduate,Female,68,637,10.5
21,84,Medium,6,52,Medium,2,High,High,Public,5,No,High School,Male,68,1764,15.0
29,64,Low,9,77,Medium,0,Low,High,Public,2,No,High School,Female,63,1856,9.0
11,94,High,10,61,Medium,1,Medium,Low,Public,3,No,College,Male,66,1034,15.0
16,84,High,6,68,Low,3,Medium,Medium,Private,3,No,High School,Male,65,1344,9.0
22,98,High,7,60,Medium,1,High,Medium,Public,1,No,High School,Male,72,2156,3.5
17,67,High,10,71,Medium,1,Medium,Medium,Public,3,No,High School,Male,63,1139,15.0
16,79,Medium,8,89,Medium,0,Low,High,Private,4,No,High School,Male,65,1264,16.0
8,86,High,8,98,Low,1,Low,Medium,Private,1,No,College,Male,65,688,4.0
21,61,High,9,81,Medium,1,Medium,Medium,Private,3,No,Postgraduate,Male,66,1281,13.5
32,61,High,7,69,High,0,High,Medium,Public,3,No,High School,Female,68,1952,10.5
22,65,Medium,7,88,Low,2,Medium,Medium,Public,4,No,College,Male,64,1430,14.0
20,70,High,9,75,Low,3,Medium,Medium,Public,4,No,College,Male,66,1400,18.0
22,77,Low,8,68,Medium,3,High,High,Public,4,No,High School,Male,68,1694,16.0
20,79,Low,6,59,Medium,0,Low,Medium,Public,2,No,High School,Male,64,1580,6.0
15,66,Medium,6,90,Low,2,Medium,Medium,Public,3,No,College,Female,62,990,9.0
25,87,Medium,6,75,Medium,0,Low,Medium,Private,2,Yes,High School,Male,67,2175,6.0
21,84,Low,9,98,Medium,1,Low,Medium,Public,3,No,High School,Male,67,1764,13.5
20,72,Medium,9,90,Low,1,Medium,Medium,Private,2,No,Postgraduate,Male,65,1440,9.0
14,61,Low,10,71,Medium,2,Low,Medium,Public,4,No,High School,Male,59,854,20.0
28,63,Medium,6,87,Low,0,Low,Medium,Public,2,No,High School,Female,66,1764,6.0
17,66,High,6,54,Medium,2,High,Low,Public,3,Yes,High School,Female,63,1122,9.0
26,75,Medium,7,76,Medium,2,Medium,Medium,Public,3,No,College,Male,68,1950,10.5
17,85,High,8,93,Low,2,Medium,High,Public,3,No,College,Female,68,1445,12.0
15,82,Medium,7,93,Medium,3,Low,High,Public,2,No,High School,Female,66,1230,7.0
15,69,High,9,79,Low,1,Medium,Medium,Private,2,No,High School,Female,63,1035,9.0
9,74,Medium,6,69,Low,3,Low,Medium,Private,2,No,High School,Female,61,666,6.0
23,85,High,8,51,Low,0,High,Low,Public,4,No,College,Female,68,1955,16.0
9,94,High,6,66,Low,0,Low,High,Public,3,No,College,Male,66,846,9.0
13,90,Medium,4,99,High,1,High,Medium,Public,4,Yes,College,Male,69,1170,8.0
8,82,Medium,5,86,Medium,0,Low,Medium,Public,3,No,Postgraduate,Female,64,656,7.5
19,74,Medium,7,86,High,1,High,Medium,Private,3,No,Postgraduate,Male,68,1406,10.5
19,75,Medium,10,88,Low,0,Low,High,Public,2,No,High School,Female,66,1425,10.0
18,95,Medium,6,81,Medium,0,Low,Medium,Public,3,Yes,High School,Female,68,1710,9.0
14,62,Medium,7,79,Low,2,Medium,Medium,Private,2,No,High School,Female,62,868,7.0
13,100,Medium,8,73,Low,1,Low,Medium,Public,3,No,Postgraduate,Male,68,1300,12.0
23,87,Medium,6,72,Medium,1,Low,High,Private,3,No,College,Male,69,2001,9.0
17,87,High,6,94,Medium,2,Low,Medium,Private,3,No,High School,Male,70,1479,9.0
15,84,Low,6,92,Medium,3,Medium,Medium,Public,3,No,College,Female,68,1260,9.0
21,79,Medium,4,92,Low,0,Low,Medium,Public,2,No,Postgraduate,Female,67,1659,4.0
28,64,Low,6,89,Medium,0,Low,Low,Public,4,No,College,Male,64,1792,12.0
24,71,Low,8,52,Medium,2,Medium,Medium,Public,3,No,College,Female,63,1704,12.0
18,96,Medium,8,57,Medium,1,Medium,Medium,Public,2,No,High School,Female,67,1728,8.0
22,82,High,9,66,Medium,1,Low,High,Private,3,No,High School,Male,66,1804,13.5
19,77,High,9,92,Medium,2,Low,Medium,Public,4,No,High School,Female,67,1463,18.0
20,63,Medium,6,94,Medium,2,Medium,Medium,Public,3,No,High School,Female,63,1260,9.0
18,89,Medium,6,52,Medium,3,High,High,Public,3,No,High School,Female,69,1602,9.0
19,88,High,6,66,Medium,3,Medium,Medium,Public,2,No,High School,Female,70,1672,6.0
21,85,High,7,93,Medium,0,High,Medium,Public,4,No,High School,Male,70,1785,14.0
14,80,High,6,62,Medium,0,High,Medium,Private,2,No,Postgraduate,Male,65,1120,6.0
14,77,Low,7,99,Low,2,Medium,Medium,Public,2,No,Postgraduate,Female,64,1078,7.0
12,84,Medium,6,74,High,1,Medium,High,Public,3,No,College,Female,67,1008,9.0
10,69,Low,8,97,Medium,1,Medium,Medium,Private,3,No,High School,Female,61,690,12.0
13,98,Medium,6,71,Medium,1,Low,High,Private,1,No,College,Female,70,1274,3.0
21,84,High,6,66,High,2,High,Medium,Private,4,Yes,College,Male,68,1764,12.0
15,72,Medium,8,68,High,0,Medium,Medium,Public,2,No,High School,Female,64,1080,8.0
23,78,High,8,94,Medium,1,High,Medium,Private,2,Yes,High School,Male,68,1794,8.0
20,92,Medium,7,67,Low,1,Medium,Medium,Public,5,No,High School,Male,68,1840,17.5
8,66,High,8,83,Medium,0,Low,Medium,Private,4,No,College,Male,63,528,16.0
24,72,Low,8,73,Low,1,Low,Medium,Public,2,No,College,Female,65,1728,8.0
14,73,Medium,8,58,Medium,2,Low,High,Public,2,No,College,Male,63,1022,8.0
23,92,Low,10,71,Medium,1,Low,Medium,Public,3,No,College,Male,69,2116,15.0
15,65,High,7,56,Medium,3,High,Medium,Private,3,Yes,High School,Female,61,975,10.5
21,91,Low,9,79,Medium,2,Low,Medium,Private,3,No,College,Female,69,1911,13.5
12,63,High,9,70,Low,1,High,Low,Public,3,No,College,Female,62,756,13.5
18,96,Medium,6,92,Medium,2,Medium,Medium,Public,3,No,High School,Male,71,1728,9.0
18,74,High,8,75,High,1,High,High,Public,3,No,Postgraduate,Male,68,1332,12.0
13,69,Medium,5,70,Medium,0,Medium,High,Private,2,No,College,Male,61,897,5.0
18,85,High,6,74,Medium,3,Low,Medium,Private,2,No,College,Male,67,1530,6.0
22,80,Medium,9,51,Medium,2,Medium,Medium,Public,3,No,Postgraduate,Male,68,1760,13.5
20,100,Medium,8,91,Medium,3,Low,Medium,Public,3,No,High School,Male,72,2000,12.0
21,99,High,4,67,Medium,1,Medium,Medium,Private,4,No,College,Female,71,2079,8.0
16,85,Medium,5,86,Low,3,Medium,Medium,Public,2,No,High School,Male,67,1360,5.0
27,78,Medium,10,53,Medium,3,Medium,Medium,Private,4,Yes,Postgraduate,Male,68,2106,20.0
13,80,Medium,9,76,Medium,0,High,Medium,Public,2,No,High School,Female,64,1040,9.0
23,87,Medium,6,95,High,3,High,Medium,Private,0,No,High School,Female,73,2001,0.0
27,64,Low,5,70,Medium,0,Low,High,Public,4,No,High School,Female,65,1728,10.0
23,73,Low,5,60,High,1,Medium,Medium,Private,2,No,Postgraduate,Female,67,1679,5.0
19,63,High,8,55,Low,0,Medium,Medium,Private,4,No,College,Female,63,1197,16.0
17,63,Medium,10,93,Medium,0,Low,Medium,Public,2,Yes,Postgraduate,Female,63,1071,10.0
11,79,High,5,99,Medium,1,High,Low,Public,3,No,High School,Female,68,869,7.5
14,91,Medium,7,62,Medium,2,Low,High,Public,2,No,College,Male,68,1274,7.0
18,79,High,6,74,Medium,3,Low,Medium,Public,4,No,High School,Male,69,1422,12.0
22,63,High,5,53,High,3,Low,High,Public,2,No,High School,Male,66,1386,5.0
14,82,Medium,6,77,Medium,3,Medium,Medium,Public,3,No,College,Female,68,1148,9.0
18,71,Medium,6,84,Medium,2,Medium,Low,Public,2,No,Postgraduate,Male,65,1278,6.0
16,99,Medium,6,76,Low,2,Medium,Medium,Private,4,No,College,Female,70,1584,12.0
26,64,Medium,6,91,Medium,1,Low,Medium,Private,4,No,High School,Male,66,1664,12.0
12,68,Medium,8,88,High,3,Low,Medium,Public,3,No,Postgraduate,Female,64,816,12.0
30,79,Medium,9,60,Medium,1,Low,Medium,Public,3,No,High School,Female,69,2370,13.5
25,99,Low,10,70,Medium,1,Medium,Medium,Public,5,No,College,Female,71,2475,25.0
27,91,Medium,8,57,Medium,0,Low,Low,Private,4,No,Postgraduate,Male,68,2457,16.0
17,96,High,7,57,Low,2,Medium,Medium,Private,3,No,College,Female,68,1632,10.5
19,73,Low,9,86,High,0,Medium,High,Public,3,No,College,Female,66,1387,13.5
11,100,Low,9,77,Medium,2,Medium,High,Public,3,No,Postgraduate,Female,70,1100,13.5
17,64,Medium,8,80,Medium,0,High,High,Public,2,No,Postgraduate,Female,65,1088,8.0
23,62,Medium,5,87,Medium,1,Medium,Medium,Public,4,No,High School,Female,63,1426,10.0
28,94,Low,9,64,Medium,0,Medium,Medium,Public,3,No,High School,Female,70,2632,13.5
13,97,Low,8,70,Medium,0,High,Medium,Private,2,No,Postgraduate,Female,67,1261,8.0
18,64,Medium,6,80,Medium,1,Medium,Medium,Public,5,Yes,High School,Male,63,1152,15.0
19,65,High,6,55,Medium,1,Low,High,Public,3,No,Postgraduate,Male,64,1235,9.0
12,61,Low,8,92,Medium,2,High,Medium,Public,4,Yes,High School,Male,60,732,16.0
24,64,Medium,4,67,Low,0,Low,Medium,Public,1,No,High School,Male,62,1536,2.0
16,68,Medium,7,83,High,2,Low,High,Public,2,No,High School,Female,65,1088,7.0
19,99,Low,6,100,Medium,0,High,Low,Private,3,No,Postgraduate,Male,69,1881,9.0
17,87,Medium,6,74,Low,1,Low,High,Private,3,No,College,Female,68,1479,9.0
15,91,Medium,6,61,Medium,1,Medium,High,Public,2,No,High School,Male,66,1365,6.0
19,81,Medium,9,53,Medium,2,High,Medium,Public,3,No,High School,Male,68,1539,13.5
18,92,Medium,4,88,Medium,3,High,Medium,Public,2,No,High School,Male,69,1656,4.0
16,84,Medium,7,65,Low,1,High,High,Public,3,No,High School,Male,65,1344,10.5
22,73,High,6,59,Low,0,Low,Medium,Public,1,No,High School,Male,65,1606,3.0
30,82,Low,10,86,Low,2,Low,High,Public,4,No,High School,Female,70,2460,20.0
21,81,Medium,7,65,High,1,Medium,Medium,Public,2,No,College,Male,67,1701,7.0
12,99,High,8,71,Medium,2,Medium,Low,Public,2,No,College,Female,70,1188,8.0
21,76,Medium,5,67,Medium,1,High,Low,Private,3,No,High School,Male,66,1596,7.5
13,91,Medium,8,74,Medium,1,Low,Medium,Private,1,No,Postgraduate,Male,68,1183,4.0
11,64,Medium,8,66,Medium,2,Low,Medium,Public,2,No,College,Male,61,704,8.0
16,91,Medium,9,94,Low,0,High,Medium,Public,3,No,Postgraduate,Male,70,1456,13.5
27,75,Medium,7,54,Low,2,Medium,Medium,Public,3,No,Postgraduate,Female,66,2025,10.5
21,75,High,7,70,High,1,Medium,High,Private,3,No,Postgraduate,Female,69,1575,10.5
11,84,Medium,6,59,Low,2,Medium,Medium,Public,3,No,High School,Female,64,924,9.0
19,65,High,9,87,Low,0,High,High,Public,2,No,College,Male,65,1235,9.0
21,63,High,7,63,Medium,2,Medium,Medium,Public,2,No,High School,Male,63,1323,7.0
15,88,Medium,8,61,Low,2,Medium,High,Public,4,Yes,High School,Male,68,1320,16.0
20,73,Medium,6,65,Medium,2,High,High,Private,2,No,College,Male,66,1460,6.0
23,76,Low,6,78,Low,2,High,Medium,Public,2,No,High School,Female,66,1748,6.0
19,84,Medium,9,69,Medium,2,Medium,Low,Public,4,No,College,Female,68,1596,18.0
21,87,Low,6,66,Medium,1,Low,Low,Public,2,No,High School,Female,65,1827,6.0
25,76,Medium,6,89,High,3,Low,Medium,Public,3,No,College,Male,70,1900,9.0
24,80,Medium,5,51,Medium,3,High,Low,Public,2,No,High School,Female,68,1920,5.0
23,100,Medium,6,65,Low,1,Medium,High,Public,2,Yes,High School,Female,70,2300,6.0
15,69,Low,8,73,Medium,2,Medium,Medium,Public,2,No,High School,Male,61,1035,8.0
9,77,Low,7,80,Medium,3,Medium,Medium,Public,3,Yes,High School,Male,61,693,10.5
28,91,High,4,78,Low,1,Medium,Low,Public,3,No,High School,Male,72,2548,6.0
24,72,Medium,10,76,High,1,Low,Medium,Public,3,No,High School,Male,66,1728,15.0
23,63,Medium,9,79,High,0,Low,Medium,Private,4,No,High School,Female,63,1449,18.0
22,60,Low,7,83,Medium,3,Medium,Medium,Public,1,No,College,Female,62,1320,3.5
17,77,Medium,8,69,Low,3,High,Medium,Public,3,Yes,High School,Male,65,1309,12.0
19,76,Medium,6,53,Medium,2,Medium,Medium,Public,5,No,High School,Male,66,1444,15.0
30,100,Low,7,53,Medium,2,Low,High,Private,3,No,High School,Male,72,3000,10.5
14,79,High,10,93,Medium,2,Medium,Medium,Public,3,No,College,Male,68,1106,15.0
30,70,High,6,84,High,2,Medium,Medium,Public,3,No,Postgraduate,Male,70,2100,9.0
18,96,Medium,7,88,Medium,1,Medium,High,Private,3,No,High School,Female,70,1728,10.5
28,80,Medium,6,96,High,2,Low,Medium,Public,6,No,High School,Male,73,2240,18.0
12,84,Medium,6,88,High,2,High,High,Public,2,No,High School,Male,67,1008,6.0
24,64,Medium,6,85,Medium,3,Medium,Medium,Public,2,No,Postgraduate,Male,65,1536,6.0
16,75,High,5,83,Medium,1,Medium,High,Private,3,No,College,Female,65,1200,7.5
12,98,Low,7,63,Medium,0,High,Medium,Private,3,Yes,High School,Female,65,1176,10.5
21,84,Medium,7,98,Medium,0,Medium,Medium,Public,4,No,College,Male,70,1764,14.0
26,74,Medium,6,77,Medium,3,Medium,Medium,Private,2,No,High School,Male,66,1924,6.0
15,85,Medium,4,61,Medium,0,Medium,Low,Public,1,No,College,Male,65,1275,2.0
11,96,High,7,60,Medium,2,Low,Medium,Public,1,No,High School,Male,68,1056,3.5
19,71,Medium,7,91,Medium,3,High,Medium,Public,1,No,High School,Female,66,1349,3.5
19,80,Low,10,63,High,1,Medium,Medium,Public,2,No,College,Female,65,1520,10.0
23,98,Medium,7,52,Low,2,Low,High,Private,4,Yes,High School,Female,71,2254,14.0
26,67,Low,8,71,Medium,2,High,Medium,Private,3,No,High School,Male,65,1742,12.0
20,89,Low,6,91,High,0,Medium,Medium,Private,4,No,College,Male,70,1780,12.0
31,85,Medium,9,71,Low,0,Medium,High,Public,2,Yes,College,Female,69,2635,9.0
21,87,Medium,6,90,High,3,High,Medium,Public,4,No,High School,Male,71,1827,12.0
18,74,Medium,8,91,Medium,0,Medium,High,Private,2,No,High School,Female,67,1332,8.0
10,73,Medium,8,93,High,3,Low,Medium,Public,2,Yes,High School,Male,64,730,8.0
18,69,Medium,10,85,Medium,2,High,Medium,Private,0,No,College,Female,66,1242,0.0
26,77,Low,6,63,Low,1,Low,High,Public,4,No,High School,Male,66,2002,12.0
23,68,High,9,55,Medium,1,Medium,Medium,Public,3,No,High School,Male,65,1564,13.5
13,60,Medium,9,77,Low,2,Medium,High,Private,5,Yes,High School,Male,61,780,22.5
21,99,Medium,7,51,High,2,Medium,Low,Private,2,No,Postgraduate,Female,72,2079,7.0
24,77,High,10,73,Medium,3,Medium,Medium,Public,3,No,High School,Male,70,1848,15.0
29,99,Medium,7,55,Low,0,Medium,Medium,Private,3,No,High School,Male,71,2871,10.5
25,83,High,7,94,Low,2,Low,High,Public,3,Yes,College,Male,72,2075,10.5
20,68,Medium,5,82,Medium,1,Low,High,Public,3,No,Postgraduate,Female,67,1360,7.5
22,92,High,8,82,Medium,2,Medium,Medium,Private,5,No,Postgraduate,Male,72,2024,20.0
27,91,Low,8,70,Low,1,Medium,Low,Public,6,No,High School,Female,70,2457,24.0
12,65,Medium,7,71,Medium,1,Low,High,Public,4,No,High School,Male,62,780,14.0
18,96,High,10,65,Low,3,Medium,Medium,Public,2,No,College,Female,71,1728,10.0
15,68,Low,6,72,Low,3,High,Low,Public,3,No,High School,Female,62,1020,9.0
22,85,Medium,4,79,Low,1,Low,Low,Public,3,No,High School,Female,68,1870,6.0
27,99,High,10,59,High,2,Low,Medium,Public,3,No,High School,Male,74,2673,15.0
16,95,High,9,63,Medium,0,Medium,Low,Private,3,No,High School,Male,68,1520,13.5
6,98,Medium,8,75,Medium,1,High,Medium,Public,3,Yes,Postgraduate,Female,64,588,12.0
18,74,High,6,69,Medium,0,Low,Medium,Public,4,No,High School,Male,65,1332,12.0
25,64,Medium,8,91,Medium,1,Low,Low,Public,5,No,College,Male,66,1600,20.0
23,80,Medium,7,67,Low,2,Low,High,Public,4,No,High School,Male,67,1840,14.0
18,92,Medium,6,73,Low,1,Medium,High,Public,5,Yes,High School,Female,67,1656,15.0
12,66,Medium,7,99,Low,2,Medium,Low,Public,3,No,High School,Male,63,792,10.5
23,86,Medium,8,91,Medium,2,Low,Medium,Public,1,No,College,Female,71,1978,4.0
15,73,Medium,5,61,Low,1,Low,High,Private,2,No,Postgraduate,Male,63,1095,5.0
33,74,Medium,8,64,Medium,0,Medium,Medium,Public,3,Yes,High School,Male,66,2442,12.0
23,86,High,7,54,Low,2,Medium,Medium,Public,2,Yes,High School,Female,67,1978,7.0
17,79,Medium,8,84,Medium,0,Medium,Medium,Public,2,No,High School,Male,66,1343,8.0
16,92,Medium,7,66,High,2,Medium,Medium,Public,4,No,Postgraduate,Female,70,1472,14.0
19,66,High,8,77,Low,3,Medium,Medium,Public,4,No,College,Female,64,1254,16.0
19,92,Medium,6,88,Low,1,High,Medium,Public,2,No,Postgraduate,Male,71,1748,6.0
27,63,High,4,92,Medium,0,Low,Medium,Public,3,No,College,Female,68,1701,6.0
21,68,Low,5,66,Low,2,High,Medium,Private,3,No,High School,Male,64,1428,7.5
16,86,Medium,6,62,Low,1,Low,High,Public,4,No,High School,Female,66,1376,12.0
31,94,Low,5,92,Low,1,High,Low,Private,4,No,High School,Male,72,2914,10.0
20,70,Low,9,69,High,2,Medium,High,Public,3,No,Postgraduate,Female,66,1400,13.5
25,73,Medium,7,91,Medium,0,Medium,High,Public,4,No,High School,Female,70,1825,14.0
16,81,Medium,8,57,High,1,Medium,Medium,Private,2,No,High School,Male,66,1296,8.0
22,68,High,8,96,Medium,1,Medium,Medium,Public,3,No,Postgraduate,Female,68,1496,12.0
22,92,Medium,7,74,High,2,Medium,Low,Public,4,No,College,Male,70,2024,14.0
9,91,Medium,10,59,High,0,Low,Medium,Private,2,No,College,Male,64,819,10.0
32,66,High,10,77,High,3,Medium,Medium,Public,1,No,College,Male,71,2112,5.0
28,79,Medium,9,94,Low,2,Low,Medium,Private,5,No,College,Male,72,2212,22.5
13,73,Medium,9,59,Medium,0,Medium,High,Public,4,No,Postgraduate,Male,63,949,18.0
22,85,Low,4,79,Medium,1,High,Low,Public,2,No,College,Male,68,1870,4.0
21,62,Medium,9,92,Medium,1,Medium,Medium,Private,4,Yes,High School,Male,63,1302,18.0
22,84,Medium,4,56,Medium,0,High,Low,Private,2,No,High School,Male,66,1848,4.0
21,66,Medium,7,52,High,1,Medium,Medium,Public,3,No,High School,Female,63,1386,10.5
23,93,High,9,53,High,1,Low,Medium,Private,4,No,College,Female,72,2139,18.0
29,74,Medium,8,62,High,3,Low,High,Public,3,Yes,Postgraduate,Male,70,2146,12.0
23,71,Medium,5,50,Medium,1,Low,High,Public,1,No,College,Female,65,1633,2.5
14,94,Medium,7,71,Medium,0,Medium,Medium,Private,3,Yes,College,Female,67,1316,10.5
28,62,Low,8,85,Medium,2,Low,High,Public,3,No,High School,Female,66,1736,12.0
30,76,Medium,7,86,Medium,1,Medium,High,Public,2,Yes,Postgraduate,Male,69,2280,7.0
13,71,Medium,8,65,High,2,Medium,Medium,Public,4,No,Postgraduate,Female,66,923,16.0
21,96,Medium,9,87,Medium,0,Medium,Medium,Public,6,Yes,High School,Female,70,2016,27.0
8,90,High,7,79,High,2,Low,Medium,Public,4,No,College,Male,68,720,14.0
23,63,Low,9,93,Medium,2,Medium,High,Private,2,No,High School,Male,65,1449,9.0
17,89,Medium,7,74,Medium,1,Low,Medium,Private,2,No,Postgraduate,Female,67,1513,7.0
32,81,High,6,59,High,2,High,Medium,Public,2,No,High School,Female,71,2592,6.0
15,96,High,9,82,Medium,2,Low,Low,Private,3,No,High School,Female,70,1440,13.5
17,83,High,6,98,Medium,0,Medium,Medium,Public,3,No,High School,Male,69,1411,9.0
8,80,Low,6,85,Medium,1,Low,High,Public,3,No,Postgraduate,Male,63,640,9.0
25,80,Medium,10,88,Low,0,Low,High,Private,2,No,College,Male,67,2000,10.0
8,78,High,7,84,Medium,0,Medium,Medium,Public,2,No,College,Male,65,624,7.0
20,68,High,7,55,High,0,Low,Low,Public,3,Yes,High School,Female,63,1360,10.5
8,90,Medium,7,73,High,3,High,Low,Private,4,No,Postgraduate,Male,67,720,14.0
18,78,Low,9,83,Medium,2,Low,Medium,Private,2,No,Postgraduate,Female,66,1404,9.0
30,98,Low,10,61,Medium,0,Low,Medium,Public,3,No,Postgraduate,Male,72,2940,15.0
22,70,Medium,7,84,Low,3,Low,High,Public,5,No,High School,Male,68,1540,17.5
15,87,High,10,91,Medium,1,Low,Low,Public,4,No,High School,Male,67,1305,20.0
20,98,Medium,6,64,Medium,1,High,High,Private,3,No,Postgraduate,Male,72,1960,9.0
20,87,Medium,7,60,Medium,0,Low,Medium,Public,2,Yes,High School,Female,66,1740,7.0
23,95,Medium,8,94,Medium,1,Medium,Medium,Public,4,No,High School,Male,73,2185,16.0
24,74,Low,8,63,High,1,Low,High,Public,3,No,High School,Male,65,1776,12.0
16,66,High,5,84,Medium,2,Medium,Medium,Private,3,No,High School,Female,65,1056,7.5
17,81,Medium,4,100,Low,2,Medium,High,Private,2,No,College,Male,68,1377,4.0
20,90,Medium,8,97,Low,1,Medium,Low,Private,2,No,High School,Female,68,1800,8.0
12,81,Low,5,68,High,0,Low,High,Private,2,No,High School,Male,62,972,5.0
14,76,Medium,7,85,High,3,Low,Medium,Private,3,No,College,Male,66,1064,10.5
21,71,Medium,7,58,Low,3,Low,Medium,Public,5,No,College,Female,65,1491,17.5
20,100,Medium,7,73,Medium,1,Low,Medium,Public,4,No,College,Female,71,2000,14.0
17,63,Medium,6,94,Low,0,Medium,Medium,Public,2,No,High School,Male,61,1071,6.0
17,62,Medium,7,66,High,2,High,Medium,Public,4,No,High School,Male,63,1054,14.0
24,69,Medium,7,55,Low,3,Medium,High,Public,4,No,High School,Male,67,1656,14.0
17,99,Medium,8,76,Low,2,High,Medium,Public,4,No,Postgraduate,Male,70,1683,16.0
19,99,Medium,5,72,Low,3,Medium,High,Private,4,No,Postgraduate,Male,73,1881,10.0
33,86,Medium,7,61,Medium,1,High,Medium,Public,3,No,High School,Male,72,2838,10.5
11,95,Medium,5,95,Low,1,Low,High,Public,3,No,Postgraduate,Male,69,1045,7.5
9,69,Low,7,80,Medium,1,Medium,Medium,Private,3,No,College,Male,61,621,10.5
25,99,Medium,5,67,Medium,1,Low,High,Public,3,No,High School,Male,71,2475,7.5
